Genes	H3K4me2_S52267	H3K4me2_S52221
Wdfy4	51	25
Gm10376	34	14
100039246	39	15
E230016K23Rik	34	9
Col4a6	18	6
Igfbp6	64	23
Ssbp1	275	103
Pcdh9	20	9
Gm14718	20	4
Sh2d4a	83	39
Mrpl33	487	184
Cyp3a41b	32	5
Serpina16	21	9
Rpe65	32	5
Cpped1	422	201
Lamp3	14	8
Atp6v1b1	55	18
Ankrd1	24	15
Aqp4	15	4
Gm13749	25	8
Gm32229	232	155
Ribc2	22	15
Pex5l	30	9
Mmp11	395	196
Gm33354	31	7
Olfr722	10	2
Zfp729b	501	205
Tmem108	388	218
Spink4	41	12
Psd3	20	6
Pramel51	23	2
9430019J16Rik	12	7
Btrc	497	199
Mpped1	22	9
Olfr1408	13	1
Lrp4	295	147
Nr3c2	161	61
A830036E02Rik	27	10
Gm48908	28	16
Snrk	393	209
Pdzrn4	10	10
Gm20756	4	1
Gal	77	50
Rhox10	17	5
Spaca5	16	7
Ndufs6	389	161
Cdh26	30	12
Mybpc2	67	35
Drd3	24	9
Ptger3	282	145
Dnah8	220	98
Il2ra	126	71
Plg	23	19
Nxph3	218	127
Mzf1	469	206
Pthlh	37	19
Gm29007	14	7
Ccnb2	419	224
Slc17a7	283	133
Obox2	32	10
Serpinb3d	14	5
Myh14	77	15
Efna5	370	220
Aspn	13	3
Iqcm	17	7
Tc2n	287	168
Osmr	113	48
Ncan	59	32
Glp1r	386	213
Krt33b	34	14
2610002M06Rik	144	70
Serpina3j	37	14
Lrrk2	165	63
Thegl	230	156
Bnc1	230	108
Dmpk	90	22
Gm10505	145	68
Oscar	231	98
Olfr27	11	3
Cmpk1	393	173
Ercc6l2	440	195
Fhl2	33	9
Nlrp10	37	22
Ythdc2	411	178
Glyctk	131	92
Prmt3	448	203
Gm44501	12	3
Pramel14	25	4
Jam3	54	44
Ms4a4c	380	160
Tbc1d21	28	9
Kptn	244	123
Gm7072	318	154
Slc7a4	317	149
A930003O13Rik	231	118
Lrp2	45	17
Samsn1	280	77
Las1l	436	151
Zfp957	100	63
Defb39	19	7
2310065F04Rik	25	9
Dcst1	40	21
Rem1	48	27
Vmn1r249	15	13
Myct1	18	1
Gm11634	40	5
Sult1c1	22	4
Gm5166	29	16
Slc15a2	19	9
Il1rapl2	24	3
Pcdha10	13	13
Vmn2r14	17	2
Tlr8	14	6
1600027J07Rik	18	4
Nps	34	12
Klhl40	35	16
Zfp605	398	190
Clec2h	25	6
Tac2	64	12
Rgs21	15	4
Gm13267	323	154
Cntn4	20	11
5031410I06Rik	44	25
Arhgef16	97	53
4930505A04Rik	24	9
Zmynd15	171	100
C130050O18Rik	69	23
Gm29483	29	6
Arhgap24	364	205
Gm36598	39	13
Gm15486	16	5
Smok2a	57	25
Wbp2nl	28	12
Adcy8	34	11
Prelp	40	5
Rhox2c	24	9
Dsg4	8	7
Inha	109	55
Manea	353	158
Gm20268	17	4
Tafa1	19	5
Mc5r	125	51
Tmem128	374	183
Eln	49	10
4930505G20Rik	17	7
Hyls1	479	200
Agxt2	14	10
Mpz	368	174
1700095A21Rik	74	17
Ccdc175	15	6
Polr1f	329	135
Tmprss5	26	13
Zbtb6	432	200
Esp3	11	11
Dlg3	315	169
Akt3	13	10
9330111N05Rik	100	44
Skint4	15	2
Col24a1	24	8
Cyp2j5	15	4
Gucy2c	33	8
Rec8	139	86
Gm32688	54	13
Tbc1d8b	296	141
Gm5141	431	196
1700001G01Rik	22	14
4933402J07Rik	32	12
4930443O20Rik	19	9
Serpina11	30	11
Sgca	86	28
Gm14326	342	168
Rgs13	10	5
Gm19461	37	24
Gm38462	75	27
Ano5	20	9
Pyroxd2	34	8
Ndc1	475	192
Tbx19	21	16
L3mbtl1	268	137
Rhox3a	27	9
1700025C18Rik	59	22
Bpifb3	34	19
Slc25a15	458	204
Acat1	427	182
Elf5	51	11
Casp8ap2	421	164
Pcdhgb1	24	15
Vill	91	34
Pik3c2g	34	6
Etnppl	41	9
Fbxw16	33	10
Dnah7a	177	87
Eif3e	251	115
Map3k7cl	25	15
Tmem178	50	14
Tnfsf15	47	15
Slc39a10	22	5
Limch1	19	6
4930532I03Rik	26	7
Olfr376	24	6
Gba	354	138
Phf11b	416	222
Klhl13	12	6
Hsd3b8	22	6
Twist2	61	47
Pilrb1	66	25
Lztfl1	393	158
Gm38545	54	26
1700016K19Rik	347	161
Acaca	31	5
H2-Eb1	72	28
Zfp488	29	17
Matn4	58	13
Noto	49	13
Ush2a	17	6
4930556N09Rik	29	13
Hdhd2	390	151
4930529K09Rik	25	6
Rbp4	44	20
4930583P06Rik	18	9
Etaa1	251	102
Atl3	362	197
Cstl1	53	23
Actc1	41	9
Smn1	472	221
Mcm9	281	91
Ninj2	41	16
Rbm46os	20	11
Metap1	453	175
Heatr6	365	177
Rnf111	357	166
Kpna3	369	220
Plch2	90	39
Gm36069	32	5
Zfp366	34	15
Wfdc21	45	9
Gm30092	23	7
Gm20858	0	0
Trim36	137	72
Gckr	154	64
Tex12	17	10
Gm42788	37	17
4930434J06Rik	21	7
Ugt2b38	11	5
Glrb	29	9
Insm2	120	68
Gfpt2	370	205
Erlec1	441	213
Krt79	49	15
Gm30694	53	14
Gm35396	31	17
Gm4961	23	10
Edn2	44	16
A530064D06Rik	44	21
Pkd2l1	28	20
Cutc	356	153
Cd244a	117	57
Gm12169	27	10
Chrna9	105	49
Rslcan18	31	8
Bpifc	32	11
Tlk2	398	196
Gm5155	19	7
Opalin	35	13
Oc90	25	8
Ecrg4	34	20
Whamm	479	201
Tlcd5	178	106
Olfr192	13	2
Klrb1f	71	23
Slc40a1	36	16
Ttc23	156	65
Ddx19b	158	64
Akr1d1	34	10
Ttll10	56	13
Gad2	332	154
6330409D20Rik	63	27
Gm7827	55	23
Krt9	44	13
Wdr7	438	205
Haus3	331	136
Pcdha7	17	9
Ube2cbp	227	118
Srp54b	536	195
Hoxc13	54	34
Ndufb3	517	199
Gm28178	200	82
Mrgpre	429	233
Tm4sf5	45	15
Sgcb	439	215
Lcat	73	25
Serpina3m	45	8
Acan	54	22
AY512915	19	10
Gm12873	27	12
1700027I24Rik	28	5
Pde6c	35	10
Gm38409	27	7
Gm34746	112	41
Poc1a	510	195
Parp6	428	195
Tent5d	14	6
Btnl2	82	51
Rho	40	21
Sprr2a2	32	15
Gm17660	52	16
Phf24	128	61
Slc18b1	100	37
Lrrtm1	36	15
Nsun3	441	212
Cd300ld4	40	17
Slc5a10	39	19
Gm20765	15	3
Coq3	358	158
Gm26633	64	19
Vwa3a	25	17
Itgb8	107	31
Nes	306	200
Trpc7	9	8
Chn1os3	39	22
Rwdd3	370	171
E330012B07Rik	21	6
Gm15446	15	8
Slc26a10	312	167
